State,Age,"Total
all 
classes1","Violent
crime2","Property
crime2","Murder and
nonnegligent
manslaughter",Rape3,Robbery,"Aggravated
assault",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,"Other
assaults","Forgery and
counterfeiting",Fraud,Embezzlement,"Stolen
property;
buying,
receiving,
possessing",Vandalism,"Weapons;
carrying,
possessing,
etc.","Prostitution and
commercialized
vice","Sex offenses
(except
rape and
prostitution)","Drug 
abuse
violations",Gambling,"Offenses
against
the family
and
children","Driving
under the
influence","Liquor
laws",Drunkenness4,"Disorderly
conduct",Vagrancy,"All other
offenses
(except
traffic)",Suspicion,"Curfew
and
loitering
law
violations","Number
of
agencies","2018
estimated 
population"
ALABAMA5,Under 18,3578,296,959,13,22,111,150,212,627,112,8,608,2,19,0,92,82,88,0,9,130,0,11,26,131,24,250,0,851,0,0,171,3070799
ALABAMA5,Total all ages,126404,4761,15609,214,245,919,3383,2352,12332,840,85,13027,768,2103,112,1756,1004,1585,0,446,8217,0,420,6391,1434,5300,1815,34,61622,0,0,,
ALASKA,Under 18,1687,206,439,4,35,21,146,96,218,103,22,374,5,6,6,4,109,18,0,34,183,0,3,35,65,1,10,0,184,0,5,32,733747
ALASKA,Total all ages,30620,2686,3763,38,149,367,2132,602,2392,726,43,4943,154,201,54,120,1103,387,2,263,1046,0,174,3148,592,47,843,17,11072,0,5,,
ARIZONA,Under 18,20478,1127,3298,16,65,388,658,535,2414,325,24,3866,21,77,12,87,1631,247,2,221,3239,1,248,141,1060,74,1424,27,3022,0,653,91,6586181
ARIZONA,Total all ages,256785,11628,32622,281,328,1940,9079,3883,26621,1711,407,25198,1121,2055,854,1087,10177,3093,349,1386,32272,2,2448,19200,7082,11514,14723,567,78700,54,653,,
ARKANSAS,Under 18,7697,427,1423,6,48,82,291,291,1030,93,9,1668,18,33,4,187,311,114,1,17,925,0,3,50,158,74,579,0,1446,0,259,241,2640116
ARKANSAS,Total all ages,120240,4650,12516,141,238,474,3797,1748,10118,594,56,11688,820,852,49,1736,1544,1112,136,83,17954,6,434,5761,1265,5035,2301,303,51736,0,259,,
CALIFORNIA,Under 18,42958,7210,7484,84,245,2937,3944,2864,3048,1402,170,8026,37,118,17,915,2030,2748,12,876,2967,8,1,474,930,522,1007,88,6836,0,652,700,39431921
CALIFORNIA,Total all ages,1093080,110236,97247,1409,2539,16670,89618,35230,42468,18020,1529,81812,4118,6105,921,16227,16652,28290,6418,8901,219251,403,268,127250,5948,58286,3451,7290,293353,1,652,,
COLORADO,Under 18,17906,758,3161,18,90,211,439,338,2455,314,54,1895,4,78,13,22,700,279,2,145,2257,0,37,217,1056,0,1762,0,4747,0,773,180,4952541
COLORADO,Total all ages,193216,7832,24136,195,549,1166,5922,2301,19199,2437,199,16477,688,2243,112,526,4843,2313,376,521,16172,7,2466,20353,7007,144,6887,549,78790,1,773,,
CONNECTICUT,Under 18,7106,325,1359,6,27,153,139,206,862,273,18,1763,10,41,1,135,284,153,0,64,489,1,34,18,18,0,1460,0,950,0,1,104,3457743
CONNECTICUT,Total all ages,95709,3399,12312,79,212,870,2238,1624,9834,778,76,17370,582,921,140,692,1640,1088,184,360,8087,10,1363,7484,96,11,10505,41,29423,0,1,,
DELAWARE,Under 18,2851,302,547,2,15,86,199,134,370,41,2,788,4,48,2,62,114,82,1,28,279,1,0,0,49,1,228,0,283,0,32,52,964106
DELAWARE,Total all ages,28742,1965,5337,33,77,391,1464,688,4511,116,22,6121,210,1348,163,324,755,322,121,107,3707,9,185,427,669,323,1164,164,5289,0,32,,
DISTRICT OF COLUMBIA6,Under 18,505,92,34,0,0,64,28,0,32,2,0,111,0,1,0,5,12,13,0,2,10,0,0,0,1,0,53,0,171,0,0,2,0
DISTRICT OF COLUMBIA6,Total all ages,13682,185,86,0,2,113,70,0,76,9,1,411,3,3,0,14,35,42,0,20,290,0,2,9,817,49,300,13,11403,0,0,,
"FLORIDA5, 7",Under 18,48213,3218,12686,46,253,1090,1829,3040,7380,2209,57,8152,48,401,32,119,890,799,0,290,5399,4,0,69,405,0,0,0,15701,0,0,596,21278278
"FLORIDA5, 7",Total all ages,715424,34907,89456,712,1936,5761,26498,14757,66157,8295,247,80570,1989,11207,1086,1632,6129,6604,1920,2862,134142,123,0,32127,10590,0,0,0,300080,0,0,,
