,Age,TotalAll,TotalViolent,TotalProperty,MurderManslaughter,Rape,Robbery,AggravatedAssault,Burglary,Larceny,CarTheft,Arson,Assault,ForgeryCounterfeit,Fraud,Embezzlement,StolenProperty,Vandalism,Weapons,CommercialSex,Sex,DrugAbuse,Gambling,FamilyChildren,DUI,LiquorLaws,Drunkenness,DisorderlyConduct,Vagrancy,AllOther,Suspicion,CurfewLoitering,NumberAgencies,Population,State,Year
20,Under 18,28458,1461,8233,44,30,594,793,1740,5956,485,52,4079,51,181,5,378,801,458,20,375,2461,10.0,173,147,642,58,2627,63,5413,196.0,626,375.0,8760392.0,GEORGIA,2014
21,Total all ages,307221,11535,47951,419,326,2625,8165,6739,39374,1624,214,29725,3512,5485,399,3048,3913,3363,679,3229,42619,238.0,3849,23004,6706,2051,19913,1205,93921,250.0,626,,,GEORGIA,2014
22,Under 18,590,24,112,2,1,8,13,18,78,13,3,42,0,0,0,0,5,5,0,0,153,0.0,0,10,42,0,6,0,72,0.0,119,1.0,162229.0,HAWAII,2014
23,Total all ages,9464,332,1072,6,22,63,241,215,723,130,4,640,12,11,0,0,72,89,20,20,1122,53.0,8,810,106,0,154,0,4824,0.0,119,,,HAWAII,2014
24,Under 18,8172,113,1771,1,21,10,81,290,1360,84,37,809,3,34,2,35,378,86,0,86,883,0.0,40,73,605,64,266,0,2645,0.0,279,109.0,1634011.0,IDAHO,2014
25,Total all ages,59003,1403,6673,16,108,92,1187,986,5417,207,63,5017,125,371,60,231,1051,354,17,245,7409,0.0,911,7439,2478,372,1666,21,22881,0.0,279,,,IDAHO,2014
26,Under 18,16779,1377,3431,43,45,973,316,602,1865,939,25,2468,6,12,0,23,674,775,3,36,3040,196.0,7,4,72,0,2212,0,2347,0.0,96,2.0,2873707.0,ILLINOIS,2014
27,Total all ages,108211,4655,14984,329,349,2058,1919,1678,10688,2544,74,16555,216,267,0,74,2896,3343,931,534,29478,1356.0,313,3653,462,0,9651,47,18700,0.0,96,,,ILLINOIS,2014
28,Under 18,15814,859,4353,16,30,269,544,532,3490,298,33,2847,13,75,3,120,480,234,3,144,1221,4.0,242,66,1202,90,1009,11,2357,105.0,376,243.0,4830065.0,INDIANA,2014
29,Total all ages,143682,7463,22937,189,170,1185,5919,2488,19081,1271,97,13121,866,1355,130,683,1390,1559,497,828,16167,14.0,1240,14878,5940,5847,3900,232,44071,188.0,376,,,INDIANA,2014
30,Under 18,13115,454,3677,2,39,83,330,359,3121,142,55,1627,11,39,1,36,945,143,5,55,1074,0.0,2,79,861,183,1581,0,1962,0.0,380,196.0,2814849.0,IOWA,2014
31,Total all ages,100607,4158,14885,28,157,361,3612,1499,12882,394,110,8537,509,761,74,204,2289,742,68,193,9115,5.0,1208,9952,4352,10951,5443,16,26765,0.0,380,,,IOWA,2014
32,Under 18,5106,226,1107,5,38,40,143,116,901,70,20,763,9,12,12,28,299,36,0,57,747,0.0,9,78,609,0,238,0,876,0.0,0,222.0,1961283.0,KANSAS,2014
33,Total all ages,68291,1992,6214,37,151,205,1599,819,4943,395,57,9041,261,648,159,368,1808,450,104,194,7677,0.0,207,8438,3868,287,2146,0,24429,0.0,0,,,KANSAS,2014
34,Under 18,6453,367,2203,11,27,213,116,530,1506,111,56,1078,10,20,9,232,158,123,0,55,656,1.0,3,50,34,75,309,10,1060,0.0,0,390.0,4361843.0,KENTUCKY,2014
35,Total all ages,178916,3790,23106,159,249,1260,2122,3507,18825,629,145,11316,1022,1135,483,1912,1097,1015,226,370,21644,9.0,4758,19953,234,15663,4537,179,66467,0.0,0,,,KENTUCKY,2014
36,Under 18,12356,611,3060,12,36,137,426,775,2062,193,30,2606,7,9,1,145,383,180,5,83,1007,2.0,34,28,86,14,1426,20,2471,3.0,175,132.0,2837980.0,LOUISIANA,2014
37,Total all ages,121145,5215,20526,165,218,669,4163,3445,16290,721,70,15282,546,1154,98,1166,1968,1585,398,619,17693,34.0,1125,5598,1154,2626,5777,124,38180,102.0,175,,,LOUISIANA,2014
38,Under 18,3854,57,950,0,11,5,41,144,749,50,7,524,7,9,2,14,269,15,2,42,472,0.0,3,52,636,3,126,0,649,0.0,22,179.0,1327844.0,MAINE,2014
39,Total all ages,47815,762,7286,10,65,164,523,905,6117,222,42,5224,232,643,58,148,1168,270,52,207,5802,4.0,154,5531,3124,16,1568,0,15544,0.0,22,,,MAINE,2014
40,Under 18,17328,1549,4350,11,32,823,683,928,2851,475,96,3287,39,40,5,15,691,398,6,118,2342,52.0,10,78,486,2,853,28,2802,25.0,152,150.0,4625308.0,MARYLAND,2014
41,Total all ages,195120,8322,24566,195,284,2692,5151,4624,18584,1112,246,19353,553,1048,227,170,2527,2739,882,874,37780,239.0,1808,17839,5985,81,5875,131,63731,238.0,152,,,MARYLAND,2014
42,Under 18,8375,987,1432,1,21,262,703,330,978,91,33,1755,11,22,4,131,478,160,2,51,274,1.0,23,49,508,169,567,0,1736,15.0,0,306.0,6054324.0,MASSACHUSETTS,2014
43,Total all ages,125708,10181,17915,47,274,1464,8396,2788,14437,603,87,19689,518,1288,133,1188,2759,1293,674,436,10516,23.0,1130,7530,3047,6875,5594,7,34846,66.0,0,,,MASSACHUSETTS,2014
44,Under 18,18658,1159,4983,18,88,332,721,730,3875,326,52,2628,25,241,15,211,469,342,7,122,2294,5.0,13,240,1759,9,725,0,2985,0.0,426,551.0,9424958.0,MICHIGAN,2014
45,Total all ages,246442,11260,27848,278,641,1631,8710,3743,22631,1259,215,25648,468,4000,912,1439,2326,3606,359,604,33567,55.0,4505,28072,12057,415,6740,168,81967,0.0,426,,,MICHIGAN,2014
46,Under 18,22763,910,5452,2,112,348,448,408,4787,236,21,2357,29,123,2,283,992,407,4,169,2546,0.0,8,195,2555,0,2418,7,3109,0.0,1197,332.0,5456434.0,MINNESOTA,2014
47,Total all ages,151155,5564,27659,87,543,1151,3783,2411,24079,1086,83,14770,878,2286,64,1723,3094,1797,617,1159,19148,28.0,634,20586,11833,1,10149,184,27784,0.0,1197,,,MINNESOTA,2014
48,Under 18,5277,121,1355,3,7,62,49,261,1023,47,24,717,5,28,1,63,133,112,3,18,353,5.0,357,45,67,44,670,3,1057,5.0,115,73.0,1360508.0,MISSISSIPPI,2014
49,Total all ages,79522,1626,10006,124,83,406,1013,1457,8187,295,67,7002,478,1120,443,612,739,858,83,184,8958,72.0,3103,8174,1044,3898,4457,105,26316,129.0,115,,,MISSISSIPPI,2014
50,Under 18,21790,1011,5320,25,136,322,528,595,4427,218,80,3369,20,45,17,326,923,297,6,315,2342,9.0,62,216,1289,19,1400,25,3756,0.0,1023,376.0,5679748.0,MISSOURI,2014
51,Total all ages,256349,9220,37807,248,488,1747,6737,4403,31453,1767,184,25178,1429,2244,330,2634,4229,2735,376,1395,33496,116.0,2832,22187,6896,427,9259,548,91988,0.0,1023,,,MISSOURI,2014
52,Under 18,4838,78,1064,0,4,3,71,64,920,57,23,497,0,11,4,8,248,21,1,20,371,0.0,103,51,682,0,457,0,811,0.0,411,94.0,987530.0,MONTANA,2014
53,Total all ages,29766,946,4927,11,52,49,834,279,4387,226,35,3779,61,269,40,36,855,97,8,85,2205,0.0,269,4461,2123,0,3086,8,6100,0.0,411,,,MONTANA,2014
54,Under 18,11789,242,3196,8,19,77,138,228,2854,90,24,1489,6,86,13,137,778,141,0,121,1587,0.0,17,122,1217,0,785,0,1692,0.0,160,162.0,1692672.0,NEBRASKA,2014
55,Total all ages,73802,2237,10825,45,145,294,1753,734,9697,341,53,7066,331,1419,94,699,2368,1016,130,470,11965,6.0,1241,8372,6913,1,3188,62,15239,0.0,160,,,NEBRASKA,2014
56,Under 18,10468,867,2194,4,47,216,600,423,1596,147,28,1587,4,17,4,135,387,159,87,78,998,4.0,25,52,812,61,217,31,2021,1.0,727,34.0,2824905.0,NEVADA,2014
57,Total all ages,122274,7808,13639,122,279,1809,5598,2736,9987,851,65,14366,626,1513,344,1241,1500,1492,3827,1002,12508,50.0,946,8072,4925,211,1589,1795,44091,2.0,727,,,NEVADA,2014
58,Under 18,4199,96,604,0,9,26,61,50,522,22,10,661,1,16,7,66,262,7,0,27,607,0.0,3,44,509,136,120,0,1012,0.0,21,152.0,1217941.0,NEW HAMPSHIRE,2014
59,Total all ages,46180,864,4918,1,54,205,604,411,4390,83,34,5258,224,873,95,700,1158,108,64,143,6224,23.0,158,4528,3425,3259,1046,55,13036,0.0,21,,,NEW HAMPSHIRE,2014
60,Under 18,21058,1579,3548,18,50,784,727,743,2598,117,90,1784,47,122,9,427,816,792,5,198,3742,37.0,43,133,975,0,1772,32,3210,0.0,1787,481.0,8525652.0,NEW JERSEY,2014
61,Total all ages,303639,10377,30216,247,315,3327,6488,4998,24468,537,213,21541,1142,4891,321,2735,3792,3832,926,1129,52721,253.0,10102,23031,3797,0,14943,346,115757,0.0,1787,,,NEW JERSEY,2014
62,Under 18,5254,252,1274,4,9,6,233,139,1090,34,11,727,2,17,4,40,123,63,2,11,671,0.0,28,48,334,7,262,3,1386,0.0,0,70.0,1622929.0,NEW MEXICO,2014
63,Total all ages,81447,3813,10166,73,116,230,3394,1375,8461,287,43,7992,198,553,166,764,906,408,155,105,5529,6.0,1346,7384,2708,56,2251,58,36866,17.0,0,,,NEW MEXICO,2014
64,Under 18,22398,1692,6174,15,54,824,799,1093,4634,346,101,3097,73,202,0,482,2169,481,8,342,3293,7.0,42,92,342,0,959,19,2924,0.0,0,435.0,10093827.0,NEW YORK,2014
65,Total all ages,264268,11907,51764,210,422,3415,7860,6530,43326,1627,281,29594,2473,4874,46,3800,13593,3218,834,1938,58782,82.0,522,26587,2141,0,7596,788,43729,0.0,0,,,NEW YORK,2014
66,Under 18,27216,1392,7348,34,36,558,764,1793,5339,123,93,5307,30,256,24,398,1063,1066,12,144,2480,9.0,53,276,770,0,2461,0,4117,0.0,10,321.0,8996381.0,NORTH CAROLINA,2014
67,Total all ages,369728,16763,60597,494,401,3330,12538,12674,46549,1099,275,48327,1845,12783,1277,3842,6624,6398,495,1216,34695,153.0,6760,39743,4849,0,8729,165,114457,0.0,10,,,NORTH CAROLINA,2014
68,Under 18,3633,47,654,0,21,5,21,37,581,31,5,301,1,15,7,17,146,21,0,15,395,0.0,51,32,572,0,527,0,746,0.0,86,101.0,711112.0,NORTH DAKOTA,2014
69,Total all ages,30653,616,3132,16,54,57,489,224,2703,190,15,2334,96,374,61,151,435,356,47,69,4004,0.0,106,6664,3500,372,1640,2,6608,0.0,86,,,NORTH DAKOTA,2014
70,Under 18,24585,975,4865,16,98,466,395,796,3755,230,84,4956,26,127,1,496,1073,327,12,149,1848,6.0,196,75,901,32,1784,11,6257,1.0,467,426.0,8531005.0,OHIO,2014
71,Total all ages,244134,6681,37913,212,476,2084,3909,4736,32230,751,196,31504,1115,2460,48,3245,3838,3204,1528,665,36331,35.0,1792,34626,8094,2599,15787,25,52128,49.0,467,,,OHIO,2014
72,Under 18,11177,479,3328,12,33,138,296,507,2679,96,46,922,1,37,33,287,218,219,0,46,1361,3.0,61,116,181,335,549,0,2003,0.0,998,311.0,3802453.0,OKLAHOMA,2014
73,Total all ages,123408,4673,19023,129,236,717,3591,2301,15985,576,161,8529,547,1602,475,2479,1153,1988,138,466,17721,40.0,733,12741,1602,16073,2062,683,29682,0.0,998,,,OKLAHOMA,2014
74,Under 18,7249,223,1951,3,17,69,134,201,1631,69,50,795,8,43,0,19,509,72,2,59,1086,0.0,4,46,763,0,385,0,785,0.0,499,101.0,2036792.0,OREGON,2014
75,Total all ages,71804,2374,14717,43,132,535,1664,1241,12482,885,109,6823,323,1411,24,298,2382,1060,229,531,11165,0.0,249,6020,6077,0,5445,2,12175,0.0,499,,,OREGON,2014
76,Under 18,57639,3164,7316,15,220,1173,1756,1096,5673,390,157,5420,69,155,17,326,1976,1083,12,448,4057,2.0,35,308,3317,234,8577,51,5681,0.0,15391,1315.0,12433961.0,PENNSYLVANIA,2014
77,Total all ages,415346,21135,61383,402,1095,5590,14048,8023,50564,2323,473,43005,2258,7499,455,2457,7676,4739,2332,2230,57392,91.0,1779,47019,13959,23180,40711,481,60174,0.0,15391,,,PENNSYLVANIA,2014
78,Under 18,2932,98,581,3,12,33,50,130,395,28,28,485,3,5,2,58,208,98,0,20,95,0.0,76,15,64,0,591,0,516,0.0,17,48.0,1055173.0,RHODE ISLAND,2014
79,Total all ages,30447,782,3357,14,61,123,584,644,2546,118,49,4053,103,510,120,313,934,353,85,94,1913,19.0,116,2721,704,5,2783,3,11462,0.0,17,,,RHODE ISLAND,2014
80,Under 18,13059,570,3398,20,47,197,306,519,2767,74,38,2072,19,59,13,177,465,341,3,69,1826,0.0,11,54,440,67,1715,0,1730,0.0,30,225.0,4184786.0,SOUTH CAROLINA,2014
81,Total all ages,157253,6693,26158,224,312,1211,4946,3489,21845,701,123,17356,1349,3835,391,1859,2679,1781,608,369,26720,102.0,1338,11226,6790,9112,11374,633,26850,0.0,30,,,SOUTH CAROLINA,2014
82,Under 18,4363,75,920,0,8,8,59,85,788,40,7,390,0,62,10,30,125,29,0,16,781,0.0,148,56,719,9,340,0,574,0.0,79,120.0,761716.0,SOUTH DAKOTA,2014
83,Total all ages,35375,866,3565,9,51,59,747,309,3099,130,27,3631,75,627,35,90,452,145,51,49,5406,0.0,367,5990,3100,111,2285,420,8031,0.0,79,,,SOUTH DAKOTA,2014
84,Under 18,25985,1689,5380,21,73,381,1214,858,4175,284,63,4554,53,172,17,69,1014,469,0,112,2460,29.0,75,174,922,172,2269,0,4814,0.0,1541,460.0,6410225.0,TENNESSEE,2014
85,Total all ages,358850,17122,44517,309,352,2068,14393,5947,36210,2124,236,31152,1692,6666,763,744,4626,2971,1369,620,41493,189.0,3393,26657,6907,17348,8442,7,140631,0.0,1541,,,TENNESSEE,2014
86,Under 18,71377,3360,19029,45,299,1073,1943,2981,15076,832,140,10747,83,232,23,198,2406,637,93,476,11719,29.0,145,434,1872,1331,2107,155,13353,0.0,2948,984.0,26646809.0,TEXAS,2014
87,Total all ages,849887,29135,122822,710,1912,5995,20518,14273,103547,4494,508,91686,4866,7817,501,1079,8989,9246,4891,3547,135683,593.0,5207,70482,12931,75764,12141,1065,248494,0.0,2948,,,TEXAS,2014
88,Under 18,16659,260,3818,2,59,46,153,229,3438,105,46,1469,7,39,2,94,955,225,31,323,1784,0.0,23,156,935,143,1014,18,4447,2.0,914,118.0,2858405.0,UTAH,2014
89,Total all ages,118405,2206,19420,43,235,440,1488,1098,17828,410,84,9833,723,1026,31,998,2979,1080,193,808,14630,0.0,1274,8063,5981,4219,3615,74,40335,3.0,914,,,UTAH,2014
90,Under 18,655,31,124,0,9,2,20,32,89,1,2,141,0,2,3,6,69,7,0,7,19,0.0,4,10,38,0,69,0,125,0.0,0,61.0,556859.0,VERMONT,2014
91,Total all ages,11381,473,1473,11,41,25,396,209,1220,30,14,1262,36,205,46,108,261,18,14,33,661,0.0,183,2189,103,1,684,0,3631,0.0,0,,,VERMONT,2014
92,Under 18,20131,699,4167,11,60,290,338,532,3390,164,81,3425,25,128,32,104,758,284,3,147,2281,0.0,30,86,1018,116,797,0,4909,0.0,1122,356.0,8219731.0,VIRGINIA,2014
93,Total all ages,300102,6923,35123,278,471,1591,4583,3490,30626,803,204,34044,1857,5718,1609,853,3929,3197,970,833,36988,50.0,2282,23611,7628,26047,4136,223,102959,0.0,1122,,,VIRGINIA,2014
94,Under 18,15744,885,4621,10,67,335,473,752,3592,219,58,3301,19,30,1,207,864,263,10,135,1697,0.0,24,142,1099,0,228,1,2205,0.0,12,229.0,6490207.0,WASHINGTON,2014
95,Total all ages,183687,7707,35757,137,479,1851,5240,4982,29320,1248,207,26336,996,991,68,3423,5132,1739,528,661,11111,0.0,455,26952,3896,12,3260,141,54510,0.0,12,,,WASHINGTON,2014
96,Under 18,1247,58,272,2,1,13,42,41,214,16,1,196,3,5,2,8,42,27,0,14,127,0.0,0,14,96,3,18,0,357,0.0,5,243.0,1379958.0,WEST VIRGINIA,2014
97,Total all ages,43394,1870,7115,42,86,154,1588,705,6189,196,25,5068,296,571,150,284,649,314,76,126,5994,2.0,78,4723,1221,1315,634,25,12878,0.0,5,,,WEST VIRGINIA,2014
98,Under 18,51778,1356,10004,19,158,532,647,921,8590,434,59,2814,44,134,29,596,2237,860,40,846,3206,23.0,139,355,3542,0,9346,40,13353,0.0,2814,384.0,5557794.0,WISCONSIN,2014
99,Total all ages,281399,7487,36709,171,677,1580,5059,3163,32264,1138,144,15969,985,3022,258,1508,7073,3955,662,2239,24854,100.0,2703,24330,17560,0,39032,1609,88530,0.0,2814,,,WISCONSIN,2014
100,Under 18,3501,34,599,0,6,1,27,31,538,24,6,404,0,10,0,3,208,28,2,12,478,0.0,9,29,433,38,109,7,885,2.0,211,50.0,523781.0,WYOMING,2014
101,Total all ages,28872,453,2770,19,39,18,377,225,2418,84,43,2625,46,168,12,66,554,90,54,128,3459,1.0,306,3742,2008,2404,921,62,8785,7.0,211,,,WYOMING,2014
0,Under 18,"5,468",397,"1,634",17,45,140,195,380,"1,168",74,12,954,11,28,6,109,133,70,0,29,231,0.0,18,29,249,40,430,0,"1,100",0.0,0,232,"3,663,706",ALABAMA,2015
1,Total all ages,"140,450","5,537","19,386",283,336,"1,088","3,830","3,008","15,558",727,93,"18,207","1,184","4,119",240,"1,948","1,489","1,374",0,457,"8,967",0.0,852,"7,863","1,739","7,107","2,187",145,"57,649",0.0,0,,,ALABAMA,2015
2,Under 18,"2,021",176,589,3,17,23,133,125,371,62,31,314,1,7,3,3,154,25,0,23,213,0.0,0,25,172,4,22,0,285,0.0,5,32,"734,820",ALASKA,2015
3,Total all ages,"31,402","2,193","3,453",47,118,294,"1,734",485,"2,540",361,67,"4,350",39,230,72,52,898,303,8,240,"1,212",0.0,181,"3,163","1,100",80,795,3,"13,025",0.0,5,,,ALASKA,2015
4,Under 18,"21,510",618,"4,691",8,45,117,448,499,"3,935",201,56,"3,042",7,55,13,88,"1,481",131,0,151,"2,835",2.0,251,186,"1,796",134,"1,652",81,"3,049",10.0,"1,237",98,"5,108,556",ARIZONA,2015
5,Total all ages,"226,367","7,161","30,609",134,230,"1,047","5,750","2,672","26,717","1,064",156,"20,492",706,"1,505",139,952,"7,934","1,929",220,"1,080","24,892",15.0,"3,317","22,367","10,079","12,521","16,750",244,"62,041",177.0,"1,237",,,ARIZONA,2015
6,Under 18,"8,163",409,"2,158",12,46,76,275,344,"1,739",49,26,"1,369",8,34,1,136,280,89,3,33,748,0.0,2,62,270,86,401,0,"1,774",0.0,300,258,"2,686,917",ARKANSAS,2015
7,Total all ages,"127,083","4,667","15,771",123,273,589,"3,682","1,977","13,357",364,73,"11,084",700,"1,145",54,"1,277","1,350",886,271,134,"12,700",1.0,223,"6,919","1,890","6,710","2,185",731,"58,085",0.0,300,,,ARKANSAS,2015
8,Under 18,"67,884","7,207","15,085",87,253,"2,585","4,282","5,537","7,799","1,504",245,"9,708",75,186,17,"1,197","3,556","3,490",144,"1,145","6,663",19.0,1,515,"1,627","1,104","1,914",124,"12,194",0.0,"1,913",689,"38,908,726",CALIFORNIA,2015
9,Total all ages,"1,158,479","107,454","127,671","1,431","2,465","15,841","87,717","44,146","65,037","17,303","1,185","81,413","4,860","6,499",972,"16,316","17,143","25,946","8,099","9,395","206,194",255.0,240,"141,458","12,186","78,534","4,674","7,504","299,745",8.0,"1,913",,,CALIFORNIA,2015
10,Under 18,"24,566",636,"5,446",9,78,137,412,481,"4,458",445,62,"1,766",7,94,9,34,931,313,2,112,"2,959",0.0,44,257,"1,721",79,"2,176",0,"6,676",0.0,"1,304",195,"5,105,425",COLORADO,2015
11,Total all ages,"226,807","6,242","31,067",165,460,"1,005","4,612","2,381","26,358","2,150",178,"17,321",559,"2,083",99,421,"5,309","2,219",641,484,"14,430",1.0,"3,185","25,562","11,072",432,"8,875",321,"95,180",0.0,"1,304",,,COLORADO,2015
12,Under 18,"7,098",360,"1,666",1,19,151,189,271,"1,205",159,31,"1,845",16,21,3,42,343,156,1,84,493,0.0,14,36,55,0,"1,107",0,856,0.0,0,100,"3,301,351",CONNECTICUT,2015
13,Total all ages,"85,327","3,116","14,016",85,179,983,"1,869","1,776","11,594",574,72,"15,341",531,786,158,223,"1,473",924,224,394,"7,635",12.0,"1,186","8,148",212,8,"8,159",29,"22,752",0.0,0,,,CONNECTICUT,2015
14,Under 18,"3,906",383,818,1,12,113,257,175,599,26,18,"1,036",6,55,3,75,214,86,0,23,380,0.0,3,2,107,4,280,0,370,0.0,61,60,"945,934",DELAWARE,2015
15,Total all ages,"34,687","2,219","7,328",42,76,496,"1,605",997,"6,195",104,32,"6,744",310,"1,705",214,386,860,332,100,117,"5,734",0.0,198,386,891,365,"1,235",419,"5,083",0.0,61,,,DELAWARE,2015
16,Under 18,417,67,43,0,0,50,17,0,42,1,0,50,0,0,0,6,10,22,0,0,13,0.0,0,0,1,0,20,0,185,0.0,0,1,0,WASHINGTON DC,2015
17,Total all ages,"7,218",124,94,0,0,87,37,0,88,6,0,273,1,0,4,13,31,67,0,0,232,0.0,0,8,741,67,111,79,"5,373",0.0,0,,,WASHINGTON DC,2015
18,Under 18,"62,148","4,256","18,745",52,258,"1,544","2,402","5,089","11,278","2,307",71,"9,558",36,365,20,185,"1,258",849,15,203,"6,334",9.0,0,88,589,0,0,0,"19,638",0.0,0,673,"20,222,616",FLORIDA,2015
19,Total all ages,"772,956","38,453","115,264",671,"1,800","7,191","28,791","18,919","88,770","7,290",285,"80,726","2,345","11,880","1,024","1,980","6,566","4,877","2,706","2,243","114,988",157.0,0,"31,783","17,431",0,0,0,"340,533",0.0,0,,,FLORIDA,2015
20,Under 18,"22,701","1,036","6,065",22,21,393,600,"1,225","4,481",328,31,"3,297",36,191,10,323,519,465,14,416,"2,128",4.0,194,117,432,37,"1,896",168,"4,920",7.0,426,378,"7,765,684",GEORGIA,2015
21,Total all ages,"231,108","8,537","35,014",306,211,"1,756","6,264","4,667","29,109","1,113",125,"22,124","2,581","4,246",285,"2,310","2,789","2,655",531,"2,199","34,837",143.0,"2,885","19,217","3,067","1,757","12,086",851,"72,555",13.0,426,,,GEORGIA,2015
22,Under 18,"3,321",173,859,0,24,89,60,82,732,38,7,419,2,9,1,16,112,25,6,48,313,0.0,0,31,80,0,62,0,"1,002",0.0,163,2,"1,164,233",HAWAII,2015
23,Total all ages,"37,603","1,261","4,353",24,145,367,725,512,"3,342",469,30,"3,935",112,272,34,128,467,190,125,195,"2,160",43.0,23,"5,250",590,0,821,0,"17,481",0.0,163,,,HAWAII,2015
24,Under 18,"7,396",151,"1,557",0,18,8,125,249,"1,198",71,39,721,1,31,3,55,332,87,0,57,814,0.0,49,49,560,34,326,0,"2,380",0.0,189,102,"1,515,358",IDAHO,2015
25,Total all ages,"52,162","1,447","6,002",14,112,102,"1,219",927,"4,807",208,60,"4,667",105,352,47,275,909,320,18,222,"6,541",0.0,783,"5,844","1,883",240,"1,497",10,"20,811",0.0,189,,,IDAHO,2015
26,Under 18,"13,627","1,118","3,324",32,23,777,286,474,"1,515","1,328",7,"1,834",9,14,0,34,403,795,0,34,"2,563",119.0,14,16,39,0,"1,584",0,"1,598",0.0,129,2,"2,876,873",ILLINOIS,2015
27,Total all ages,"91,218","4,102","13,237",272,280,"1,728","1,822","1,321","8,866","2,986",64,"15,005",175,226,0,76,"2,343","3,491",309,414,"24,101",914.0,287,"3,659",292,0,"6,763",14,"15,681",0.0,129,,,ILLINOIS,2015
28,Under 18,"14,282",755,"3,503",16,28,277,434,383,"2,820",271,29,"2,426",17,69,6,89,421,221,2,146,"1,116",7.0,319,69,"1,065",63,838,15,"2,717",82.0,336,236,"4,703,413",INDIANA,2015
29,Total all ages,"150,628","7,327","21,625",200,183,"1,192","5,752","2,245","17,903","1,394",83,"12,774",891,"1,569",143,566,"1,338","2,069",431,886,"16,526",13.0,"1,257","14,428","5,484","4,366","3,619",164,"54,680",136.0,336,,,INDIANA,2015
30,Under 18,"10,662",545,"3,155",6,29,85,425,407,"2,569",142,37,"1,374",19,42,11,35,651,112,2,42,813,0.0,6,74,550,99,"1,170",0,"1,593",0.0,369,180,"2,502,758",IOWA,2015
31,Total all ages,"89,891","4,512","14,137",43,136,362,"3,971","1,585","11,998",449,105,"6,897",552,653,82,178,"1,931",705,116,167,"8,114",6.0,879,"9,028","3,733","7,639","4,137",6,"26,050",0.0,369,,,IOWA,2015
32,Under 18,"4,959",192,"1,278",1,25,45,121,166,"1,021",76,15,726,1,23,14,22,270,43,1,52,708,0.0,14,71,462,1,267,0,814,0.0,0,222,"1,883,819",KANSAS,2015
33,Total all ages,"62,188","1,991","6,167",53,140,221,"1,577",721,"5,046",347,53,"8,547",224,582,159,367,"1,624",425,75,172,"7,756",0.0,261,"7,186","3,225",207,"1,954",0,"21,266",0.0,0,,,KANSAS,2015
34,Under 18,"6,232",336,"1,881",9,28,187,112,443,"1,236",185,17,"1,121",8,15,8,334,193,101,0,45,615,8.0,3,41,13,57,267,0,"1,185",0.0,1,389,"4,381,885",KENTUCKY,2015
35,Total all ages,"195,415","3,484","20,873",159,238,"1,136","1,951","3,169","16,949",681,74,"11,508",986,"1,135",467,"2,125","1,059",872,275,375,"22,106",15.0,"4,375","17,825",127,"15,061","4,453",145,"88,148",0.0,1,,,KENTUCKY,2015
36,Under 18,"10,775",558,"2,514",10,50,120,378,557,"1,749",190,18,"1,746",1,10,1,133,339,226,3,68,"1,022",4.0,41,30,184,17,"1,706",0,"2,051",4.0,117,121,"2,467,765",LOUISIANA,2015
37,Total all ages,"111,454","4,813","18,898",151,231,645,"3,786","2,919","15,168",741,70,"12,438",390,854,20,"1,114","1,569","1,763",130,507,"17,686",35.0,886,"5,339","2,723","2,204","5,350",177,"34,411",30.0,117,,,LOUISIANA,2015
38,Under 18,"3,477",54,857,2,9,7,36,145,656,47,9,482,1,10,4,5,200,11,3,36,444,0.0,1,40,585,3,106,0,620,0.0,15,181,"1,327,104",MAINE,2015
39,Total all ages,"45,230",800,"6,480",21,59,182,538,854,"5,361",236,29,"4,918",252,563,46,109,"1,005",228,81,184,"5,947",8.0,67,"5,756","2,724",12,"1,317",4,"14,713",1.0,15,,,MAINE,2015
40,Under 18,"15,175","1,427","3,951",18,56,738,615,848,"2,532",469,102,"3,347",17,13,7,6,701,467,8,92,"1,607",40.0,16,69,416,0,725,9,"2,105",16.0,136,145,"4,545,345",MARYLAND,2015
41,Total all ages,"159,178","8,244","22,032",257,336,"2,698","4,953","4,286","16,408","1,098",240,"17,681",486,817,193,110,"2,227","2,716",615,692,"26,154",166.0,"1,364","17,100","4,985",21,"4,475",63,"48,711",190.0,136,,,MARYLAND,2015
42,Under 18,"7,281",886,"1,323",3,15,200,668,251,972,84,16,"1,534",17,27,2,170,426,172,3,35,203,0.0,27,45,362,50,432,0,"1,552",15.0,0,321,"6,194,224",MASSACHUSETTS,2015
43,Total all ages,"116,347","9,841","15,577",52,270,"1,200","8,319","2,296","12,664",564,53,"17,854",489,"1,186",127,"1,058","2,528","1,300",508,432,"9,761",24.0,"1,175","8,258","2,137","5,678","4,349",15,"33,952",98.0,0,,,MASSACHUSETTS,2015
44,Under 18,"17,223","1,151","4,677",17,89,286,759,647,"3,710",251,69,"2,464",18,234,23,232,507,303,6,106,"2,047",9.0,9,211,"1,509",6,652,0,"2,681",0.0,378,592,"9,275,519",MICHIGAN,2015
45,Total all ages,"240,942","10,836","25,150",242,622,"1,516","8,456","3,028","20,815","1,092",215,"25,217",519,"3,671",856,"1,453","2,386","3,289",607,532,"34,716",72.0,"4,047","26,845","10,767",426,"6,402",218,"82,538",17.0,378,,,MICHIGAN,2015
