State,Age,"Total
all 
classes1","Violent
crime2","Property
crime2","Murder and
nonnegligent
manslaughter",Rape3,Robbery,"Aggravated
assault",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,"Other
assaults","Forgery and
counterfeiting",Fraud,Embezzlement,"Stolen
property;
buying,
receiving,
possessing",Vandalism,"Weapons;
carrying,
possessing,
etc.","Prostitution and
commercialized
vice","Sex offenses
(except
rape and
prostitution)","Drug 
abuse
violations",Gambling,"Offenses
against
the family
and
children","Driving
under the
influence","Liquor
laws",Drunkenness4,"Disorderly
conduct",Vagrancy,"All other
offenses
(except
traffic)",Suspicion,"Curfew
and
loitering
law
violations","Number
of
agencies","2013
estimated 
population"
ALABAMA5,Under 18,175,6,102,0,0,3,3,2,99,1,0,17,0,0,0,3,0,2,0,0,16,0,0,1,11,1,8,0,8,0,0,1,84139
ALABAMA5,Total all ages,2119,26,684,2,2,12,10,11,670,2,1,233,7,15,17,30,6,27,4,0,325,0,1,259,16,132,21,4,312,0,0,,
ALASKA,Under 18,2211,138,730,8,15,13,102,38,649,33,10,262,3,9,10,8,108,22,1,22,240,0,1,29,287,11,22,0,302,0,6,31,473660
ALASKA,Total all ages,29568,1638,4006,22,106,222,1288,264,3461,215,66,3590,49,172,87,32,776,234,647,219,1475,0,224,2689,1385,100,939,607,10693,0,6,,
ARIZONA,Under 18,29861,955,6755,20,32,270,633,959,5413,304,79,4014,24,83,10,91,2187,221,8,310,3917,0,200,291,3266,0,1769,10,3860,0,1890,86,6466774
ARIZONA,Total all ages,279551,9493,42399,253,265,1815,7160,4302,36258,1623,216,26443,1519,2287,201,1257,11283,2637,743,1688,30962,1,2247,31662,17822,0,15533,481,79003,0,1890,,
ARKANSAS,Under 18,9197,302,2516,4,34,78,186,473,1981,54,8,1458,8,28,1,86,253,124,4,52,830,0,1,67,333,95,864,0,1932,0,243,230,2746564
ARKANSAS,Total all ages,138054,4013,16631,95,211,650,3057,2762,13443,369,57,11022,804,1584,27,1022,1308,997,198,192,11391,39,314,7811,2355,8628,3292,565,65618,0,243,,
CALIFORNIA,Under 18,94067,8170,21758,108,116,3103,4843,7559,12323,1505,371,11218,80,241,8,1806,4959,4211,205,1356,9284,10,4,598,2267,1699,4078,175,18057,0,3883,685,38284824
CALIFORNIA,Total all ages,1212801,101342,139624,1425,1600,15930,82387,50390,74234,13909,1091,77525,5598,6722,1053,19613,17445,25676,10260,10286,217520,389,266,161055,14029,90812,7205,7193,295305,0,3883,,
COLORADO,Under 18,26158,539,5673,7,39,132,361,456,4853,276,88,1634,10,82,1,56,1136,303,13,191,3056,0,64,290,2159,48,2305,0,7362,0,1236,203,5107902
COLORADO,Total all ages,230910,5691,28833,120,333,1000,4238,2425,24873,1340,195,15461,648,1758,89,646,5141,1841,314,687,12370,3,3183,28723,13377,238,10359,367,99945,0,1236,,
CONNECTICUT,Under 18,8960,457,1959,4,28,205,220,262,1353,164,180,2230,8,40,6,40,375,161,0,94,724,1,28,44,86,0,1484,0,1212,0,11,99,3410076
