State,Age,"Total
all 
classes1","Violent
crime2","Property
crime2","Murder and
nonnegligent
manslaughter",Rape3,Robbery,"Aggravated
assault",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,"Other
assaults","Forgery and
counterfeiting",Fraud,Embezzlement,"Stolen
property;
buying,
receiving,
possessing",Vandalism,"Weapons;
carrying,
possessing,
etc.","Prostitution and
commercialized
vice","Sex offenses
(except
rape and
prostitution)","Drug 
abuse
violations",Gambling,"Offenses
against
the family
and
children","Driving
under the
influence","Liquor
laws",Drunkenness4,"Disorderly
conduct",Vagrancy,"All other
offenses
(except
traffic)",Suspicion,"Curfew
and
loitering
law
violations","Number
of
agencies","2017
estimated 
population"
ALABAMA5,Under 18,4707,365,1264,18,34,116,197,323,860,71,10,782,13,29,1,134,86,103,0,26,196,0,29,42,212,34,338,0,1053,0,0,223,3737635
ALABAMA5,Total all ages,153285,6005,18366,317,344,1140,4204,3223,14030,994,119,16455,1189,3258,161,2484,1413,1963,2,550,11267,0,822,7194,2064,6165,2018,56,71853,0,0,,
ALASKA,Under 18,1570,164,459,1,26,20,117,117,258,78,6,320,2,5,7,5,98,21,1,9,180,0,0,23,80,10,14,0,172,0,0,32,736205
ALASKA,Total all ages,29152,2374,3695,46,126,289,1913,623,2356,694,22,4478,113,219,77,105,1004,369,5,256,1004,0,159,3102,653,43,757,2,10737,0,0,,
ARIZONA,Under 18,22613,1228,4528,30,52,450,696,761,3364,347,56,3677,22,74,6,156,1754,258,4,218,3096,1,182,198,1461,78,1424,57,3062,3,1126,91,6400872
ARIZONA,Total all ages,277698,12832,34919,261,339,2085,10147,3974,29142,1590,213,26801,1201,2076,457,1410,10287,3090,303,1289,33230,12,2680,24195,8935,15574,15505,616,81016,144,1126,,
ARKANSAS,Under 18,7878,459,1562,15,46,101,297,386,1083,88,5,1443,15,29,5,144,287,126,0,18,876,0,6,32,205,85,609,0,1667,0,310,264,2760388
ARKANSAS,Total all ages,123971,4715,12355,138,238,563,3776,2026,9686,603,40,11347,830,893,54,1766,1510,1106,172,92,17515,13,293,5988,1475,6247,2469,315,54506,0,310,,
CALIFORNIA,Under 18,51603,7152,10712,98,295,2952,3807,4067,4616,1774,255,8483,45,175,23,1167,2656,3081,18,1139,3781,11,2,455,1107,695,1193,103,8607,0,998,676,39386220
CALIFORNIA,Total all ages,1093363,109117,105757,1499,2561,16942,88115,38094,46602,19501,1560,80248,4440,6903,990,17398,16883,28547,7056,9244,212025,287,227,122961,7079,63278,3530,6773,289622,0,998,,
COLORADO,Under 18,21183,773,3921,18,58,230,467,339,3135,377,70,1924,10,87,17,21,878,325,0,133,2615,2,34,239,1282,11,1729,0,6130,0,1052,198,5083702
COLORADO,Total all ages,234409,7721,27157,176,442,1203,5900,2389,21737,2766,265,17009,734,2400,126,496,5508,2309,521,471,16626,19,3235,23664,8143,485,7284,596,108846,7,1052,,
CONNECTICUT,Under 18,8133,436,1858,6,22,197,211,287,1222,324,25,1961,11,30,4,125,451,181,2,46,585,0,25,28,27,0,1406,1,953,0,3,105,3538025
CONNECTICUT,Total all ages,100211,3844,14074,85,190,1082,2487,1998,11076,926,74,18621,649,912,144,693,2188,1242,183,368,9174,7,1500,8228,159,5,10579,24,27614,0,3,,
DELAWARE,Under 18,3360,284,661,1,18,84,181,146,462,35,18,911,0,60,4,73,154,82,0,37,335,1,0,0,71,3,287,0,364,0,33,62,961939
DELAWARE,Total all ages,31549,1989,6156,42,69,476,1402,950,5038,136,32,6225,283,1837,221,401,749,338,81,122,4015,20,176,347,635,377,1339,226,5979,0,33,,
DISTRICT OF COLUMBIA6,Under 18,594,80,39,0,0,60,20,0,39,0,0,79,1,2,0,9,12,15,0,0,17,0,0,0,2,0,32,0,306,0,0,2,0
